Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
Business ,Out of state ,18,right,20,95,75
art_education,out-of-state,17,right,20cm,24,22.2
Finance,In state,12,left,22,92,82
animal_science,out_of_state,16,right,23.5,42.6,64.4
Sociology,In state,15,right,18.7cm,46.8,60.4
Uni studies,out of state,15,right,23,115,112
biology,out-state,16,right,20.4,36.8,47.2
HDFS ,Out of state ,18,left,15cm,29.8,26.4
Environmental science,out-of-state,16,right,10,55.2,45.2
Accounting,In-state,16,right,20.5 cm,41.7 pounds,39.2 pounds
Computer science,In state,17,right,21.1,134.4,133.4
computer science ,out of state,15,right,15cm,38.8,35.5
Environmental studies ,Out of state ,16,right,22,85,81
business_major,in_state,16,right,21.5,81,85
Accounting ,Out of state ,16,right,18 cm,36.2,31.8
sociology ,in_state,15,right,19,31.7,26.4
Management and Marketing,In-state,15,right,18cm,42.4,47
Marketing,In_State,16,right,20cm,100.8,112.2
Biology,I am paying in state but am out of state Residency through the VA and WUE.,19,right,20cm,55 lbs.,45 lbs.
Exercise Science,In state ,15,right,19.5 cm,56 lb,59 lb
Business management ,Out of state,19,right,7 inches,54.4,49
Accounting ,Out of state ,16,left,21cm ,49.8,53.2
Business management ,Out,16,right,22cm,78,88.2
Marketing ,Out of state,15,right,17.5,66.8,65.6
Business Management ,In-State,12,left,24.5 cm,88.4 lbs,84.6 lbs
Finance ,Out of state ,15,right,23cm,93.5 lbs,75.8 lbs
business finance,in-state,15,right,8in,78.2,64.6
pre_nursing,out_state,16,right,18.5,86,76
animal_science_science,out_of_state,14,right,26cm,81,78.4
marketing,out_state,18,right,14cm,38lbs,39lbs
Nursing ,In state ,17,right,12.7,76.8,73.2
Kinesiology - Exercise Science,out-of-state,16 (possibly another online class),right,18 cm,30.4,20.8
Business Management,In-state,18,right,21 cm,112,110
Business,Out of state ,15,right,22.5,97.8,82.3
Management,Out of state,15,right,17,78,67
